X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,lat,long
42227.9555,39563.1564,78221,B06,,1.398166827,103.9372229
34065.7478,39047.4577,63359,B01,HOUGANG SWIM CPLX,1.324351043,103.9325859
36335.29597,38525.74101,64141,B13,AFT JLN TELAWI,1.344876189,103.9278988
36530.2647,32981.1799,83139,B07,AFT JOO CHIAT PL,1.346640847,103.8780776
29669.9342,40841.5136,55231,B02,OPP SBST EAST DISTRICT,1.284596233,103.9487046
28404.7686,41300.9235,55351,B03,OPP FUDU WALK P/G,1.273154352,103.952832
37378.1868,32166.811,92089,B10,CHIJ KATONG CON,1.354309275,103.8707601
33524.15353,31938.86178,80271,B06,OPP BLK 2,1.319454803,103.8687113
35142.59382,31500.49403,82059,B02,ONE AMBER,1.334091455,103.8647725
44329.515,39204.7395,97089,B02,OPP SELARANG PK DRUG REH.,1.417172686,103.934003
40577.2556,40261.7576,77099,B06,BEF PASIR RIS AVE,1.383238229,103.9434996
28861.4837,31451.5698,8137,B08,ORCHARD PLAZA,1.277287322,103.8643322
20065.52459,37889.63139,43301,B02,OPP HILLBROOKS,1.197738465,103.9221779
16000.1755,46531.6371,49249,B08,DRAGON FISH IND,1.160969361,103.9998248
21505.891,30250.8824,16051,B25,THE CRYSTAL TABERNACLE CH,1.210766014,103.8535431
42469.6704,38513.2267,98099,B02,BLK 269A,1.400353207,103.9277885
27045.3394,46944.9972,58019,B22,AFT SEMBAWANG SHOP CTR,1.260857337,104.0035451
28837.832,31358.0431,8111,B03,WINSLAND HSE,1.277073435,103.8634918
39154.21796,36991.47756,75201,B01,BLK 835,1.370369988,103.9141133
18122.459,33567.772,20251,B01,BEF TEBAN GDNS RD,1.180167045,103.8833453
31178.8778,44049.7746,68131,B09,OPP BLK 532,1.298241071,103.9775328
24962.72675,33168.8752,11101,B09,FARRER RD MKT,1.242028103,103.8797622
26296.0874,28835.2323,14281,B06,OPP BLK 11,1.254086952,103.8408234
29366.8503,40337.0503,55509,NIL,YIO CHU KANG TER,1.281855455,103.9441717
28978.1488,34115.2762,50059,B10,OPP THOMSON MED CTR,1.278341998,103.8882666
28043.8412,38412.5953,53349,B05,BISHAN PK SEC SCH,1.269891335,103.9268793
32516.2048,36201.1466,62109,B09,AFT UPP S'GOON RD,1.310338433,103.9070099
22717.9161,29808.6504,15109,B07,LP 30,1.221727176,103.8495696
7483.872202,34052.2894,25379,NIL,AFT TUAS AVE 6,1.083955252,103.8876969
19236.2679,44492.9882,45101,B25,AFT LP 234,1.190236396,103.9815092
22940.50463,35202.85269,42039,B30,OPP THE NEXUS,1.223739454,103.8980376
32805.52255,40198.87403,64121,B19,AFT ANG MO KIO AVE 5,1.312953594,103.9429314
28665.8522,39794.5296,54201,B05,OPP BLK 155,1.275516093,103.9392967
38518.2166,32807.2024,93089,B04,OPP GOODWILL CT,1.364619199,103.8765146
28372.1944,35907.9125,51069,B22,MT ALVERNIA HOSP,1.272861565,103.904374
16128.92305,39596.9366,30059,B15,,1.162136709,103.9375169
40398.9284,33158.2454,94049,B16,FAIRVIEW CT,1.38162762,103.8796693
15299.5549,37568.3248,28161,B11,BEF HONG KAH FLYOVER,1.154636813,103.9192896
32161.67825,41271.28023,67659,B03,"AFT SELETAR WEST RD
",1.307130462,103.9525673
35742.574,34492.53094,71101,B01,BLK 318,1.339516967,103.8916578
14312.3453,36600.9294,21421,B03,BLK 176,1.145709086,103.9105974
25904.4582,29566.36,10659,B02,BLK 1003,1.250545167,103.8473928
28316.0718,31418.5487,9059,B01,NATL YOUTH COUNCIL,1.272354813,103.8640354
30504.2506,39777.614,54481,B14,OPP ANG MO KIO ITE,1.2921419,103.9391454
26198.933,31296.6016,13031,B06,HSE NO 305,1.253208164,103.8629395
21859.0532,33083.3876,12199,B03,OPP VILLAGE TWRS,1.213959579,103.8789936
15512.2941,37010.6732,28521,B05,BLK 457,1.1565609,103.9142792
14254.4932,33994.5469,21319,B13,OPP TRACTOR RD,1.145186431,103.8871792
36611.3272,42422.2582,65271,B08,OPP BLK 188,1.347370893,103.9629114
25905.2854,30474.2729,10289,B08,OPP SIS BLDG,1.250552591,103.8555506
6893.652998,35080.8715,25509,B02,OPP WEE WEE HUP KEE,1.078617331,103.8969383
30218.752,31126.487,1013,B05,ST JOSEPH'S CH,1.289562013,103.8614114
35248.0196,35114.88594,70071,B05,CYCLE & CARRIAGE,1.335044254,103.8972499
24554.4204,28837.5844,15051,B20,ALEXANDRA PT,1.238335923,103.8408445
28715.5192,34715.2388,51029,B14,OPP OLD POLICE ACADEMY,1.275966747,103.8936574
10662.1088,33838.9861,24011,B26,ALLIED SIGNAL S'PORE,1.11269817,103.8857809
37437.3258,40211.6395,73029,B26,OPP LP 223R10,1.354841898,103.943048
32131.7419,41104.7017,67041,B28,AFT JLN KAYU,1.3068598,103.9510705
22955.2214,46140.7049,46339,B03,BLK 370,1.223868349,103.996316
24082.1391,47571.1944,46809,NIL,OPP WOODLANDS MART,1.234058937,104.0091698
