lat,long,Blk,Original Build Date,Number of Food Stalls,Region,Number of Market Stalls,Name,Description,Address
1.33458936,103.7215199,3,23/3/2005,123,West,57,Taman Jurong Market and Food Centre,"Taman Jurong Market and Food Centre is an amalgamation of  3 hawker centres, namely Corporation Drive Market, Yung Sheng Food Centre and Corporation Drive Food Centre. Comprises 123 cooked food stalls and 57 market stalls.","3, Yung Sheng Road, Singapore 618499"
1.300789315,103.7976258,48A,1964,28,West,89,Tanglin Halt Market,"Built way back in 1964, Tanglin Halt Market is an iconic hawker centre within the Tanglin Halt estate. The hawker centre was given a facelift in 2003, and currently comprises 28 cooked food stalls and 89 market stalls.","48A, Tanglin Halt Road, Singapore 148813"
1.273368283,103.8076268,79,30/5/1977,40,West,0,Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),"Situated directly opposite the Telok Blangah Community Centre, the hawker centre is a convenient location where residents of Telok Blangah can get to enjoy palatable local cuisines at affordable rates from the 40 cooked food stalls.","Blk 79, Telok Blangah Drive, Singapore 100079"
1.273913799,103.8079436,82,30/5/1977,0,West,144,Telok Blangah Drive Blk 82 (Telok Blangah Market),"Built in 1972, the standalone market at Blk 82 Telok Blangah Drive offers a variety of fresh produce where residents can fulfill their marketing needs. Comprises 144 market stalls.","Blk 82, Telok Blangah Drive, Singapore 100082"
1.292342168,103.8311893,70,1976,32,Central,0,Zion Riverside Food Centre,"Located opposite Great World City, Zion Riverside Food Centre boasts a huge reputation even with its relatively small footprint of 32 cooked food stalls. Built since 1976, patrons can find a variety of good food offerings at the centre. Popular with both locals and tourists alike.","70, Zion Road, Singapore 247792"
1.364105171,103.8482542,341,1979,32,North,86,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),"Located in the heart of Teck Ghee estate and opposite Bishan Park, the 32 cooked food stalls and 86 market stalls within the hawker centre remain a popular choice among patrons despite the availability of alternative marketing and dining facilities nearby.  Popular local dishes are whipped up daily to satisfy patrons' desires for good food!","Blk 341, Ang Mo Kio Ave 1, Singapore 560341"
1.284991022,103.8425788,32,1965,87,Central,0,New Market Road Blk 32 (People's Park Food Centre),"Fondly known as People's Park Complex, it is located right in the heart of the bustling Chinatown. It is a favourite haunt for elderly folks to catch up and enjoy a delicious yet affordable meal.  Extremely accessible by bus or MRT. Upgraded in 2005, it has 87 cooked food stalls located on the ground floor. The second and third floors comprise HDB shops selling fabrics, fashion and home wares.","Blk 32, New Market Road, Singapore 050032"
1.324187828,103.9411324,58,27/2/1978,48,East,147,New Upper Changi Road Blk 58,"Comprising a market produce and cooked food section, the hawker centre at Blk 58 New Upper Changi Road was built in 1978 to serve the marketing and dining needs of patrons living in Bedok South. Especially popular during the breakfast and lunch hours.","Blk 58, New Upper Changi Road, Singapore 461058"
1.311892357,103.8395627,500,1971,83,Central,0,Newton Food Centre,"Popular with both locals and tourists alike.  Often rated by foodies as one of the best hawker centres in Singapore, Newton Food Centre is well known for dishes like BBQ Seafood, Hokkien Mee, Po Piah, Satay, Fried Carrot Cake etc.  Extremely crowded during dinner and supper time, this is definitely a hawker centre that you must visit!  Located in the Cairnhill / Newton area and a stone's throw away from Newton MRT.","500, Clemenceau Ave North, Singapore 229495"
1.320648292,103.887019,117,15/9/1978,79,East,82,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),"Next to Geylang East Swimming Complex and other amenities, the hawker centre caters to the marketing and dining needs of the residents at Geylang East. The centre was built in 1978 and comprises 79 cooked food stalls and 82 market stalls.","Blk 117, Aljunied Ave 2, Singapore 380117"
1.362768918,103.8553698,409,31/7/1979,40,North,148,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),"Also known as Teck Ghee Square, it is one of the three hawker centres that are situated along Ang Mo Kio Ave 10. Built in 1979, the hawker centre comprises 40 cooked food stalls and 148 market stalls.","Blk 409, Ang Mo Kio Ave 10, Singapore 560409"
1.302418814,103.8839406,4A,3/1/1969,52,East,53,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),"Built in 1969, Blk 4A Jalan Batu comprises both a market and food section. The centre houses 52 cooked food stalls and 53 market stalls.","Blk 4A, Jalan Batu, Singapore 432004"
1.367230149,103.8399532,226H,30/9/1976,29,North,0,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),"Commonly known as Kebun Bahru Food Centre, the food centre was built in 1976 to serve the dining needs of Kebun Baru residents. Comprises 29 cooked food stalls.","Blk 226H, Ang Mo Kio Street 22, Singapore 568226"
1.315028044,103.8716203,17,28/2/1974,84,Central,60,Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),"Upgraded in 2009, the hawker centre at Blk 17 Upper Boon Keng comprises 84 cooked food stalls and 60 market stalls. The hawker centre serves the nearby residential and industrial estates.","Blk 17, Upper Boon Keng Road, Singapore 380017"
1.287330767,103.8183389,85,4/4/1972,96,West,0,Redhill Lane Blk 85 (Redhill Food Centre),"Build in 1972 to complement the market next door, Blk 85 Redhill Lane is a standalone food centre comprising 96 cooked food stalls. A good variety of food can be found within the hawker centre.  Within walking distance from Redhill MRT.","Blk 85, Redhill Lane, Singapore 150085"
1.37238494,103.8289942,590,1974,36,North,0,Sembawang Hills Food Centre (Jalan Leban Food Centre),"Built in 1974, this centre is nestled along Upper Thomson Road and offers a wide variety of food such as Fish / Seafood Soup, Char Kway Teow, Ngoh Hiang, Pasta etc.  The centre comprises 36 cooked food stalls.","590, Upper Thomson Road, Singapore 574419"
1.309414187,103.9018251,271,1974,30,East,0,Dunman Food Centre,"Built in 1974, Dunman Food Centre has since played a vital role in providing resonably-priced cuisines to the residents of Joo Chiat area. Upgraded in 2002, the centre comprises 30 cooked food stalls.","271, Onan Road, Singapore 424768"
1.306684318,103.9350167,1220,1978,63,East,0,East Coast Lagoon Food Village,"Located in the south-eastern part of Singapore, the East Coast Lagoon Food Village offers a tropical resort ambience by the sea and a wide variety of local hawker food at reasonable prices. It is a favourite haunt among sports enthusiasts and families who wish to enjoy a sumptuous meal by the sea. Popular dishes include Satay, BBQ Seafood and Chicken Wings, Zi Char, Wan Ton Noodles, Satay Bee Hoon, Beef Noodles etc.  Rated as one of the food paradises in Singapore!","1220, East Coast Parkway, Singapore 468960"
1.316245731,103.8056364,7,26/3/1976,40,West,68,Empress Road Blk 7 (Empress Road Market and Food Centre),"Built in 1976, the hawker centre at Blk 7 Empress Road comprises 40 cooked food stalls and 72 market stalls. Provides marketing and dining facilities to residents of Farrer estate.","Blk 7, Empress Road, Singapore 260007"
1.320331782,103.9042609,4A,7/7/2000,42,East,71,Eunos Crescent Blk 4A,The hawker centre at Blk 4A Eunos Crescent is located within close proximity to the Eunos MRT station and bus interchange. Its strategic location coupled with a wide variety of food offerings results in high patronage especially during lunch and dinner hours.,"Blk 4A, Eunos Crescent, Singapore 402004"
1.311889721,103.7591661,502,19/1/1995,0,West,68,West Coast Drive Blk 502 (Ayer Rajah Market),"Also known as Ayer Rajah Market, the standalone market is located next to Ayer Rajah Food Centre. One of the last few hawker centres built, construction was completed in 1995 to complement Ayer Rajah Food Centre. There are 68 market stalls at the market to serve the West Coast area.","Blk 502, West Coast Drive, Singapore 120502"
1.31180301,103.7597513,503,26/3/1979,80,West,0,West Coast Drive Blk 503 (Ayer Rajah Food Centre),"Also known as Ayer Rajah Food Centre, the standalone food centre was originally built in 1979.  The centre is located next to Ayer Rajah Market and currently houses 80 cooked food stalls to serve the West Coast area.","Blk 503, West Coast Drive, Singapore 120503"
1.322943062,103.8551377,90,26/8/1976,80,Central,12,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),"Known also as Whampoa Drive Makan Place, this is one hawker centre in Singapore which has become inceasingly famous over the years. Patrons can easily find popular stalls serving up excellent dishes to satisfy their palate. Be prepared to wait during peak hours as the premise is packed with diners!","Blk 90, Whampoa Drive, Singapore 320090"
1.323421751,103.8540681,91/92,3/1/1973,52,Central,112,Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),"Known also as Whampoa Drive Makan Place, this is one hawker centre in Singapore which has become inceasingly famous over the years. Patrons can easily find popular stalls serving up excellent dishes to satisfy their palate. Be prepared to wait during peak hours as the premise is packed with diners!","Blk 91/92, Whampoa Drive, Singapore 320091/320092"
1.30739616,103.8841302,17,1959,16,East,78,Kallang Estate Fresh Market and Food Centre,"Located just minutes away from Blk 51 Old Airport Road, the Kallang Estate Fresh Market and Food Centre provides both dining and marketing services for Kallang residents. Built in 1959, the centre comprises 16 cooked food stalls and 78 market stalls.","17, Old Airport Road, Singapore 397972"
1.302285138,103.9063385,84,23/8/1976,55,East,143,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),"Located across Parkway Parade Shopping Centre, the hawker centre has been around since 1976. It is popular with patrons throughout the day. A wide variety of local food is available at the hawker centre including Char Kway Teow, Beef Noodles, Economical Rice, Desserts etc.  Comprises 55 cooked food stalls and 143 market stalls.","Blk 84, Marine Parade Central, Singapore 440084"
1.305775148,103.915762,50A,3/3/1975,24,East,87,Marine Terrace Blk 50A (50A Marine Terrace),Built in 1975 to serve the residents living within the Marine Terrace estate. The hawker centre is located just next to the Marine Parade Town Council. Comprises 24 cooked food stalls and 87 market stalls.,"Blk 50A, Marine Terrace, Singapore 441050"
