lat,long,Centre Name,Address,Postal Code
1.338324532,103.7008562,BRILLIANT TOTS PTE. LTD.,"610, JURONG WEST STREET 65, #01 - 534, S 640610",640610
1.390440081,103.898664,BUBBLESLAND PLAYHOUSE PTE LTD,"238, COMPASSVALE WALK, #01 - 542, S 540238",540238
1.438016907,103.8068148,BUCKET HOUSE PRESCHOOL,"39, WOODLANDS CLOSE, #01 - 62, MEGA@WOODLANDS, S 737856",737856
1.433436193,103.7874227,BUMBLE BEE CHILD CARE CENTRE,"369, WOODLANDS AVENUE 1, #01 - 853, S 730369",730369
1.395646922,103.8886333,BUSY BEES SINGAPORE PTE LTD,"327B, ANCHORVALE ROAD, #01 - 322, S 542327",542327
1.401759839,103.8999443,BUSY BEES SINGAPORE PTE LTD,"211A, PUNGGOL WALK, #01 - 623, S 821211",821211
1.443185232,103.8157688,BUSY BEES SINGAPORE PTE LTD,"2, GAMBAS CRESCENT,  - 01-03, NORDCOM II, S 757044",757044
1.374466296,103.8690826,BUSY BEES SINGAPORE PTE.LTD,"6, SERANGOON NORTH AVENUE 5, #02 - 01, S 554910",554910
1.427353078,103.8412192,BUSY BEES SINGAPORE PTE.LTD.,"348A, YISHUN AVENUE 11, #01 - 557, S 761348",761348
1.31626604,103.8625295,CAELUM JUNIOR @ BENDEMEER PTE. LTD.,"70, BENDEMEER ROAD, #02 - 01, LUZERNE, S 339940",339940
1.377140734,103.9535991,CAELUM JUNIOR @ DOWNTOWN EAST PTE LTD,"1, PASIR RIS CLOSE, #02 - 314, E!HUB@DOWNTOWN EAST, S 519599",519599
1.348932409,103.8446765,CAELUM JUNIOR LLP,"11, BINCHANG RISE, LAUW & SONS GARDEN, S 579882",579882
1.434758401,103.8027211,CALROSE ACADEMY PTE. LTD.,"11, WOODLANDS CLOSE, #01 - 29/30, WOODLANDS 11, S 737853",737853
1.360189318,103.8809706,CAMBERLEY INTERNATIONAL PRE-SCHOOL PRIVATE LIMITED,"16, FLOWER ROAD, S 549405",549405
1.36102192,103.9649522,CAMBERLEY INTERNATIONAL PRE-SCHOOL PRIVATE LIMITED,"14, JALAN CHELAGI, BUKIT LOYANG ESTATE, S 509575",509575
1.316439626,103.8354876,CAMBERLEY INTERNATIONAL PRE-SCHOOL PRIVATE LIMITED,"271, BUKIT TIMAH ROAD, #02 - 16, BALMORAL PLAZA, S 259708",259708
1.327947601,103.8702825,CAMBRIDGE @ MACPHERSON PTE LTD,"50,MACPHERSON ROAD,#01-01,AMAZANA",348471
1.365734319,103.8668736,CAMBRIDGE @ SERANGOON GARDENS PTE. LTD.,"22, KENSINGTON PARK ROAD, S 557271",557271
1.341094747,103.7699917,CAMBRIDGE CDC @ BT PTE. LTD.,"19, TOH TUCK DRIVE, S 596883",596883
1.368012918,103.7694658,CAMBRIDGE CDC @ DAIRY FARM PTE. LTD.,"1, JALAN SUASA, GREEN HILL ESTATE, S 678493",678493
1.39042415,103.9044241,CAMBRIDGE CDC @ SENGKANG PTE. LTD.,"50, SENGKANG EAST WAY, S 548601",548601
1.291970502,103.8411571,CAMBRIDGE CDC @ TANGLIN PTE. LTD.,"11, Unity Street, #02 - 01, Robertson Walk, S 237995",237995
1.390045294,103.8606074,CAMBRIDGE CDC @ YIO CHU KANG PTE. LTD.,"1, TAMARIND ROAD, SERENE PARK, S 806011",806011
1.389064936,103.8771519,CAMBRIDGE@FERNVALE PTE. LTD.,"409A, FERNVALE ROAD, #01 - 46, CORAL VALE, S 791409",791409
1.374472867,103.9030705,CAMBRIDGE@KINGSFORD WATERBAY PTE LTD,"50, UPPER SERANGOON VIEW, #01 - 01, KINGSFORD WATERBAY, S 533893",533893
1.352883485,103.8678228,CAMELOT INTERNATIONAL INFANT CARE PTE LTD,"301, SERANGOON AVENUE 2, #01 - 342, CHUAN VILLAGE, S 550301",550301
1.444174641,103.8138855,CANBERRA PRESCHOOL PTE LTD,"3, GAMBAS CRESCENT, #01 - 03, NORDCOM ONE, S 757088",757088
1.351717644,103.9519631,3-IN-1 FAMILY CENTRE,"205, TAMPINES STREET 21, #01 - 1281, S 520205",520205
