school_name,school_category,school_type,school_nature,school_area,school_address,school_postal_code,lat,long
Admiralty Primary School,primary_school,Government School,Co-Ed School,Woodlands,11 Woodlands Circle,738907,1.44263479033113,103.800040119743
Ahmad Ibrahim Primary School,primary_school,Government School,Co-Ed School,Yishun,10 Yishun Street 11,768643,1.4331527154352,103.832942401086
Ai Tong School,primary_school,Government-Aided School,Co-Ed School,Bishan,100 Bright Hill Drive,579646,1.36058343389044,103.833020333986
Alexandra Primary School,primary_school,Government School,Co-Ed School,Bukit Merah,2A Prince Charles Crescent,159016,1.29133439161336,103.824424680531
Anchor Green Primary School,primary_school,Government School,Co-Ed School,Sengkang,31 Anchorvale Drive,544969,1.39037014886962,103.887165375937
Anderson Primary School,primary_school,Government School,Co-Ed School,Ang Mo Kio,19 Ang Mo Kio Ave 9,569785,1.38426429436739,103.841392081119
Ang Mo Kio Primary School,primary_school,Government School,Co-Ed School,Ang Mo Kio,20 Ang Mo Kio Avenue 3,569920,1.3693217658461,103.839630858752
Anglo-Chinese School (Junior),primary_school,Government-Aided School,Boys' School,Central,16 Winstedt Road,227988,1.30935122599558,103.840955091346
Anglo-Chinese School (Primary),primary_school,Government-Aided School,Boys' School,Novena,50 Barker Road,309918,1.31837054550897,103.835609732082
Angsana Primary School,primary_school,Government School,Co-Ed School,Tampines,3 Tampines Street 22,529366,1.34855974654082,103.951808106156
Beacon Primary School,primary_school,Government School,Co-Ed School,Bukit Panjang,36 Bukit Panjang Ring Road,679944,1.38394934487102,103.77363194111
Bedok Green Primary School,primary_school,Government School,Co-Ed School,Bedok,1 Bedok South Ave 2,469317,1.32344593287994,103.937878976352
Bendemeer Primary School,primary_school,Government School,Co-Ed School,Kallang,91 Bendemeer Road,339948,1.32181250780476,103.865404167629
Blangah Rise Primary School,primary_school,Government School,Co-Ed School,Bukit Merah,91 Telok Blangah Heights,109100,1.27612047869293,103.808628536055
Boon Lay Garden Primary School,primary_school,Government School,Co-Ed School,Jurong West,20 Boon Lay Drive,649930,1.34317853793319,103.713280889452
Bukit Panjang Primary School,primary_school,Government School,Co-Ed School,Bukit Panjang,109 Cashew Road,679676,1.37362179302439,103.769374904025
Bukit Timah Primary School,primary_school,Government School,Co-Ed School,Bukit Timah,111 Lorong Kismis,598112,1.33751860013149,103.767243310781
Bukit View Primary School,primary_school,Government School,Co-Ed School,Bukit Batok,18 Bukit Batok Street 21,659634,1.34586054842037,103.753665986188
CHIJ (Katong) Primary,primary_school,Government-Aided School,Girls' School,Bedok,17 Martia Road,424821,1.30648535277089,103.911105620496
CHIJ (Kellock),primary_school,Government-Aided School,Girls' School,Bukit Merah,1 Bukit Teresa Road,099757,1.27502272296403,103.828157564896
CHIJ Our Lady Queen of Peace,primary_school,Government-Aided School,Girls' School,Bukit Panjang,4 Chestnut Drive,679287,1.36660366856101,103.767412204602
CHIJ Our Lady of Good Counsel,primary_school,Government-Aided School,Girls' School,Serangoon,2C Burghley Drive,558979,1.3574295229699,103.864009397373
CHIJ Our Lady of The Nativity,primary_school,Government-Aided School,Girls' School,Hougang,1257 Upper Serangoon Road,534793,1.37330297194879,103.897575728031
CHIJ Primary (Toa Payoh),primary_school,Government-Aided School,Girls' School,Toa Payoh,628 Lorong 1 Toa Payoh,319765,1.33275264711591,103.841847263786
CHIJ St. Nicholas Girls&#8217; School (Primary Section),primary_school,Government-Aided School,Girls' School,Ang Mo Kio,501 Ang Mo Kio Street 13,569405,1.37347687878919,103.834253269436
Canberra Primary School,primary_school,Government School,Co-Ed School,Sembawang,21 Admiralty Drive,757714,1.45130467584564,103.815839476605
Canossa Catholic Primary School,primary_school,Government-Aided School,Co-Ed School,Geylang,1 Sallim Road,387621,1.32685879628179,103.881050911498
Cantonment Primary School,primary_school,Government School,Co-Ed School,Bukit Merah,1 Cantonment Close,088256,1.27547252623205,103.839962631748
Casuarina Primary School,primary_school,Government School,Co-Ed School,Pasir Ris,30 Pasir Ris St 41,518935,1.37246063955374,103.957020286387
Catholic High School (Primary Section),primary_school,Government-Aided School,Boys' School,Bishan,9 Bishan Street 22,579767,1.35472307471664,103.844874676599
Cedar Primary School,primary_school,Government School,Co-Ed School,Toa Payoh,15 Cedar Avenue,349700,1.33558842561171,103.875620790518
Changkat Primary School,primary_school,Government School,Co-Ed School,Tampines,11 Simei St 3,529896,1.34023163951634,103.952080114035
Chongfu School,primary_school,Government-Aided School,Co-Ed School,Yishun,170 Yishun Avenue 6,768959,1.43839562897008,103.839309173817
Chongzheng Primary School,primary_school,Government School,Co-Ed School,Tampines,1 Tampines Street 21,529392,1.35070739237745,103.951399541868
Chua Chu Kang Primary School,primary_school,Government School,Co-Ed School,Choa Chu Kang,20 Choa Chu Kang Avenue 2,689905,1.3777589009337,103.741832917421
Clementi Primary School,primary_school,Government School,Co-Ed School,Clementi,8 Clementi Ave 3,129903,1.31506321827877,103.763144493687
