school_name,school_category,school_type,school_nature,school_area,school_address,school_postal_code,lat,long
Admiralty Secondary School,secondary_school,Government School,Co-Ed School,Woodlands,31 Woodlands Crescent,737916,1.4458906890001,103.802398197
Ahmad Ibrahim Secondary School,secondary_school,Government School,Co-Ed School,Yishun,751 Yishun Avenue 7,768928,1.4360597640001,103.829718678
Anderson Secondary School,secondary_school,Government School,Co-Ed School,Ang Mo Kio,10 Ang Mo Kio Street 53,569206,1.3743400170001,103.851554107
Ang Mo Kio Secondary School,secondary_school,Government School,Co-Ed School,Ang Mo Kio,6 Ang Mo Kio Street 22,569362,1.367337102,103.842154974
Anglican High School,secondary_school,Government-Aided School,Co-Ed School,Bedok,600 Upper Changi Road,487012,1.331180405,103.941857925
Anglo-Chinese School (Barker Road),secondary_school,Government-Aided School,Boys' School,Novena,60 Barker Road,309919,1.319616492,103.83577269
Anglo-Chinese School (Independent) (Secondary),secondary_school,Independent School,Co-Ed School,Queenstown,121 Dover Road,139650,1.303704093,103.780363418
Assumption English School,secondary_school,Government-Aided School,Co-Ed School,Bukit Panjang,622 Upper Bukit Timah Road,678117,1.3691629530001,103.767937546
Assumption Pathway School,secondary_school,Specialised School,Co-Ed School,Bukit Panjang,30 Cashew Road,679697,1.369670704,103.765959131
Bartley Secondary School,secondary_school,Government School,Co-Ed School,Toa Payoh,10 Jalan Bunga Rampai,538403,1.339954156,103.882806212
Beatty Secondary School,secondary_school,Government School,Co-Ed School,Toa Payoh,1 Toa Payoh North,318990,1.341770656,103.852285637
Bedok Green Secondary School,secondary_school,Government School,Co-Ed School,Bedok,360 Bedok North Ave 3,469722,1.3345194730001,103.935028383
Bedok South Secondary School,secondary_school,Government School,Co-Ed School,Bedok,1 Jalan Langgar Bedok,468585,1.3251365520001,103.950989139
Bedok View Secondary School,secondary_school,Government School,Co-Ed School,Bedok,6 Bedok South Avenue 3,469293,1.324157041,103.943776245
Bendemeer Secondary School,secondary_school,Government School,Co-Ed School,Kallang,1 St Wilfred Road,327919,1.3246111130001,103.860970284
Boon Lay Secondary School,secondary_school,Government School,Co-Ed School,Jurong West,11 Jurong West Street 65,648354,1.3427226910001,103.701890026
Bowen Secondary School,secondary_school,Government School,Co-Ed School,Hougang,2 Lorong Napiri,547529,1.370359944,103.877659578
Broadrick Secondary School,secondary_school,Government School,Co-Ed School,Geylang,61 Dakota Crescent,399935,1.307050512,103.886917441
Bukit Batok Secondary School,secondary_school,Government School,Co-Ed School,Bukit Batok,50 Bukit Batok West Ave 8,658962,1.3484908560001,103.740873705
Bukit Merah Secondary School,secondary_school,Government School,Co-Ed School,Bukit Merah,10 Lengkok Bahru,159050,1.2857841380001,103.81302312
Bukit Panjang Govt. High School,secondary_school,Government School,Co-Ed School,Choa Chu Kang,7 Choa Chu Kang Ave 4,689809,1.382225572,103.73835388
Bukit View Secondary School,secondary_school,Government School,Co-Ed School,Bukit Batok,16 Bukit Batok Street 21,659633,1.345733055,103.752226594
CHIJ Katong Convent,secondary_school,Government-Aided School,Girls' School,Marine Parade,346 Marine Terrace,449150,1.3064425380001,103.917144367
CHIJ Secondary (Toa Payoh),secondary_school,Government-Aided School,Girls' School,Toa Payoh,626 Lorong 1 Toa Payoh,319764,1.3324607990001,103.843271625
CHIJ St. Joseph’s Convent,secondary_school,Government-Aided School,Girls' School,Sengkang,62 Sengkang East Way,548595,1.391752222,103.902464991
CHIJ St. Nicholas Girls&#8217; School (Secondary),secondary_school,Government-Aided School,Girls' School,Ang Mo Kio,501 Ang Mo Kio Street 13,569405,1.3734768790001,103.834253269
CHIJ St. Theresa&#8217;s Convent,secondary_school,Government-Aided School,Girls' School,Bukit Merah,160 Lower Delta Road,099138,1.2753517750001,103.822440702
Canberra Secondary School,secondary_school,Government School,Co-Ed School,Sembawang,51 Sembawang Drive,757699,1.453224924,103.814194898
Catholic High School (Secondary),secondary_school,Government-Aided School,Boys' School,Bishan,9 Bishan Street 22,579767,1.354723075,103.844874677
Cedar Girls&#8217; Secondary School,secondary_school,Government School,Girls' School,Toa Payoh,1 Cedar Avenue,349692,1.333758002,103.873933064
Changkat Changi Secondary School,secondary_school,Government School,Co-Ed School,Tampines,23 Simei St 3,529894,1.339506301,103.953245526
Christ Church Secondary School,secondary_school,Government-Aided School,Co-Ed School,Woodlands,20 Woodlands Drive 17,737924,1.426567813,103.793451109
Chua Chu Kang Secondary School,secondary_school,Government School,Co-Ed School,Choa Chu Kang,3 Teck Whye Crescent,688845,1.383190293,103.75187829
