name,full_address,status,lat,long
100 AM,100 AM Singapore,True,1.2745882179999999,103.84347070000001
313@Somerset,313@Somerset Singapore,True,1.3010065690000001,103.83824659999999
Aperia,Aperia Singapore,True,1.310470402,103.8642875
Balestier Hill Shopping Centre,Balestier Hill Shopping Centre Singapore,True,1.325761279,103.8430541
Bugis Cube,Bugis Cube Singapore,True,1.298195005,103.85565550000001
Bugis Junction,Bugis Junction Singapore,True,1.299355372,103.8549847
Bugis+,Bugis+ Singapore,True,1.302064163,103.86138709999999
Capitol Piazza,Capitol Piazza Singapore,True,1.293063359,103.85129350000001
Cathay Cineleisure Orchard,Cathay Cineleisure Orchard Singapore,True,1.301497434,103.8364448
Clarke Quay Central,Clarke Quay Central Singapore,False,,
The Centrepoint,The Centrepoint Singapore,True,1.3019303070000001,103.8398132
City Square Mall,City Square Mall Singapore,True,1.3111960329999999,103.85664809999999
City Gate Mall,City Gate Mall Singapore,False,,
CityLink Mall,CityLink Mall Singapore,True,1.292378607,103.854663
Duo,Duo Singapore,True,1.29916296,103.8578595
Far East Plaza,Far East Plaza Singapore,True,1.307304689,103.8338184
Funan,Funan Singapore,True,1.2915759690000002,103.84945859999999
Great World City,Great World City Singapore,True,1.293475962,103.8319759
HDB Hub,HDB Hub Singapore,True,1.33218812,103.8470778
Holland Village Shopping Mall,Holland Village Shopping Mall Singapore,False,,
ION Orchard,ION Orchard Singapore,True,1.3040425340000001,103.83188829999999
Junction 8,Junction 8 Singapore,True,1.350182003,103.84851570000001
Knightsbridge[1],Knightsbridge[1] Singapore,False,,
Liang Court,Liang Court Singapore,False,,
Liat Towers,Liat Towers Singapore,True,1.30510759,103.83072790000001
Lucky Plaza,Lucky Plaza Singapore,True,1.30446379,103.83400520000001
Marina Bay Sands,Marina Bay Sands Singapore,True,1.283577958,103.8607144
The Shoppes at Marina Bay Sands,The Shoppes at Marina Bay Sands Singapore,True,1.284234913,103.8589822
Marina Bay Financial Centre Tower 3,Marina Bay Financial Centre Tower 3 Singapore,True,1.279124938,103.85445759999999
Marina Bay Link Mall,Marina Bay Link Mall Singapore,True,1.279724915,103.8545488
Marina One,Marina One Singapore,True,1.277224256,103.85369490000001
Marina Square,Marina Square Singapore,True,1.291117292,103.8577583
Millenia Walk,Millenia Walk Singapore,True,1.292965041,103.859344
Mustafa Shopping Centre,Mustafa Shopping Centre Singapore,False,,
